Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
안녕,Hotel del Luna (Original Television Soundtrack) Pt.10,Paul Kim,2019-08-12,225005,55,0.81,0.49,0.292,0.0,0.16,0,-7.102,0.293,0.0312,130.937,1
"Someday, The Boy",ITAEWON CLASS (Original Television Soundtrack) Pt. 6,Kim Feel,2020-02-15,287813,59,0.751,0.297,0.314,0.0,0.107,5,-7.487,0.0875,0.0315,131.34,1
Slightly Tipsy (She is My Type♡ X SANDEUL),Slightly Tipsy (She is My Type♡ X SANDEUL),Sandeul,2020-07-20,227986,53,0.769,0.697,0.447,0.0,0.115,1,-6.552,0.549,0.0264,93.931,1
Love poem,Love poem,IU,2019-11-18,258238,59,0.74,0.404,0.467,0.0,0.106,11,-5.276,0.273,0.0413,119.994,1
HIP,reality in BLACK,MAMAMOO,2019-11-14,195306,73,0.0376,0.782,0.731,3.15e-05,0.0956,3,-4.581,0.824,0.143,138.032,0
why break up?,why break up?,Sin Ye Young,2019-11-20,247360,44,0.808,0.554,0.526,0.0,0.074,7,-5.21,0.23,0.0394,129.845,1
Introduce me a good person,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 2",JOY,2020-03-20,183440,59,0.693,0.618,0.562,0.0,0.123,3,-4.462,0.725,0.0306,94.032,1
Spring Day,You Never Walk Alone,BTS,2017-02-13,274097,75,0.0063,0.539,0.846,1.68e-06,0.13,8,-3.192,0.46,0.0354,106.992,1
Black Swan,Black Swan,BTS,2020-01-17,198260,73,0.137,0.719,0.758,0.0,0.129,2,-5.167,0.49,0.0851,147.023,0
Summer Hate (Feat. Rain),RANDOM BOX,ZICO,2020-07-01,184626,52,0.026,0.792,0.743,0.0,0.0631,1,-3.817,0.835,0.0801,136.993,1
Leo (feat. BAEKHYUN),Leo,BOL4,2020-05-07,187986,52,0.651,0.614,0.56,0.0,0.196,3,-4.709,0.634,0.0289,89.994,1
Here I Am Again,"Crash Landing on You (Original Television Soundtrack), Pt. 4",Yerin Baek,2020-01-12,234840,62,0.834,0.451,0.465,0.0,0.104,9,-4.485,0.189,0.0286,131.632,1
NUNU NANA,NUNA,Jessi,2020-07-30,195836,72,0.0198,0.743,0.689,0.0,0.708,7,-2.846,0.504,0.0289,104.936,1
돌덩이,ITAEWON CLASS (Original Television Soundtrack) Pt. 3,Ha Hyun Woo,2020-02-07,209320,53,0.407,0.442,0.787,0.0,0.108,8,-3.889,0.414,0.0937,127.979,0
오래된 노래,오래된 노래,Standing Egg,2012-09-04,272797,40,0.134,0.576,0.569,0.0,0.108,0,-6.171,0.386,0.0292,143.873,1
I Still love you a lot,I Still love you a lot,Jeon Sang Keun,2019-09-08,275093,43,0.798,0.415,0.477,0.0,0.226,4,-6.222,0.3,0.0413,137.594,1
Half,Half,Jin Minho,2019-11-30,244102,26,0.715,0.502,0.556,0.0,0.249,5,-5.732,0.138,0.038,127.544,0
The Lonely Bloom Stands Alone,The Lonely Bloom Stands Alone,HYNN,2019-03-31,199391,46,0.591,0.416,0.43,0.0,0.349,1,-6.117,0.151,0.0399,133.063,1
Me After You,Me After You,Paul Kim,2018-10-29,280358,62,0.792,0.351,0.29,0.0,0.312,0,-8.34,0.337,0.0296,143.88,1
Square (2017),Every letter I sent you.,Yerin Baek,2019-12-10,261762,58,0.0633,0.504,0.79,0.0,0.26,8,-5.254,0.528,0.0399,99.916,1
FIESTA,BLOOM*IZ,IZ*ONE,2020-02-17,217760,69,0.0617,0.756,0.927,0.0,0.343,7,-2.116,0.723,0.0594,123.005,1
Dumhdurum,LOOK,Apink,2020-04-13,208053,61,0.145,0.653,0.923,0.0,0.137,8,-2.163,0.692,0.0621,114.902,0
아마두,Dingo X DAMOIM Pt. 2,Various Artists,2019-12-03,345620,38,0.179,0.782,0.592,0.0,0.0822,7,-7.264,0.581,0.381,149.694,1
I'm a little drunk (Prod. 2soo),I'm a little drunk,Lim Jae Hyun,2019-09-24,257558,38,0.197,0.348,0.5,0.0,0.259,5,-5.275,0.185,0.0282,134.384,1
00:00 (Zero O’Clock),MAP OF THE SOUL : 7,BTS,2020-02-21,250295,72,0.0802,0.566,0.548,0.0,0.11,1,-6.456,0.196,0.0579,157.999,1
When We Disco (Duet with SUNMI),When We Disco,J.Y. Park,2020-08-12,224387,52,0.00283,0.678,0.912,0.0,0.319,8,-3.45,0.692,0.0293,131.947,0
Trust in me,Mr. Trot WINNER SONG,Lim Young Woong,2020-04-03,242786,39,0.642,0.273,0.494,0.0,0.0996,11,-3.58,0.26,0.0344,189.142,1
pporappippam 보라빛 밤,pporappippam 보라빛 밤,SUNMI,2020-06-29,206616,62,0.0513,0.714,0.828,0.0652,0.0347,1,-4.68,0.318,0.0428,120.014,0
WANNABE,It'z Me,ITZY,2020-03-09,191242,76,0.00795,0.809,0.911,0.000179,0.181,6,-4.41,0.64,0.0617,122.035,0
HOLO,HOLO,LeeHi,2020-07-23,178520,65,0.768,0.406,0.474,0.0,0.106,6,-6.349,0.206,0.0295,179.914,1
Confession Is Not Flashy,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 4",KYUHYUN,2020-04-03,228313,57,0.532,0.599,0.4,0.0,0.104,2,-6.733,0.314,0.0297,98.023,1
MORE & MORE,MORE & MORE,TWICE,2020-06-01,199653,70,0.0312,0.739,0.841,0.0,0.173,5,-4.162,0.562,0.06,106.99,1
Lovesick Girls,THE ALBUM,BLACKPINK,2020-10-02,194765,75,0.00559,0.654,0.707,0.0,0.0873,6,-5.661,0.448,0.0664,127.97,1
